file;health;split_group
032_375.png;healthy;train
032_607.png;healthy;train
010_069.png;healthy;train
016_216.png;healthy;train
032_739.png;healthy;train
004_343.png;healthy;train
005_415.png;healthy;train
040_457.png;Varroa, Small Hive Beetles;train
019_546.png;healthy;train
019_320.png;healthy;train
030_847.png;ant problems;train
004_102.png;healthy;train
005_166.png;healthy;train
005_586.png;healthy;train
005_573.png;healthy;train
004_467.png;healthy;train
019_1212.png;healthy;train
019_879.png;healthy;train
038_265.png;Varroa, Small Hive Beetles;train
019_1267.png;healthy;train
038_017.png;Varroa, Small Hive Beetles;train
010_794.png;healthy;train
010_509.png;healthy;train
008_047.png;healthy;train
040_409.png;Varroa, Small Hive Beetles;train
030_702.png;ant problems;train
027_009.png;healthy;train
034_018.png;missing queen;train
040_420.png;Varroa, Small Hive Beetles;train
005_266.png;healthy;train
010_854.png;healthy;train
030_405.png;ant problems;train
021_195.png;healthy;train
024_012.png;healthy;train
038_436.png;Varroa, Small Hive Beetles;train
038_079.png;Varroa, Small Hive Beetles;train
040_135.png;Varroa, Small Hive Beetles;train
022_204.png;healthy;train
041_010.png;hive being robbed;train
015_975.png;healthy;train
010_633.png;healthy;train
022_416.png;healthy;train
009_097.png;healthy;train
021_200.png;healthy;train
046_174.png;healthy;train
030_696.png;ant problems;train
040_317.png;Varroa, Small Hive Beetles;train
046_033.png;healthy;train
022_306.png;healthy;train
030_867.png;ant problems;train
008_197.png;healthy;train
015_674.png;healthy;train
045_007.png;hive being robbed;train
040_534.png;Varroa, Small Hive Beetles;train
009_043.png;healthy;train
019_633.png;healthy;train
003_271.png;healthy;train
040_040.png;Varroa, Small Hive Beetles;train
041_027.png;hive being robbed;train
022_394.png;healthy;train
021_028.png;healthy;train
036_068.png;Varroa, Small Hive Beetles;train
019_852.png;healthy;train
005_303.png;healthy;train
032_076.png;healthy;train
038_406.png;Varroa, Small Hive Beetles;train
005_370.png;healthy;train
005_541.png;healthy;train
004_288.png;healthy;train
015_846.png;healthy;train
015_805.png;healthy;train
008_085.png;healthy;train
028_021.png;healthy;train
030_611.png;ant problems;train
032_698.png;healthy;train
003_254.png;healthy;train
003_246.png;healthy;train
030_665.png;ant problems;train
001_050.png;healthy;train
002_031.png;healthy;train
003_243.png;healthy;train
040_315.png;Varroa, Small Hive Beetles;train
003_266.png;healthy;train
030_674.png;ant problems;train
015_1252.png;healthy;train
032_924.png;healthy;train
038_403.png;Varroa, Small Hive Beetles;train
029_010.png;healthy;train
015_1080.png;healthy;train
016_099.png;healthy;train
032_888.png;healthy;train
008_124.png;healthy;train
038_431.png;Varroa, Small Hive Beetles;train
045_019.png;hive being robbed;train
030_496.png;ant problems;train
040_006.png;Varroa, Small Hive Beetles;train
038_352.png;Varroa, Small Hive Beetles;train
040_389.png;Varroa, Small Hive Beetles;train
019_1371.png;healthy;train
015_1222.png;healthy;train
022_410.png;healthy;train
015_417.png;healthy;train
031_088.png;Varroa, Small Hive Beetles;train
040_392.png;Varroa, Small Hive Beetles;train
001_145.png;healthy;train
017_098.png;healthy;train
016_277.png;healthy;train
030_411.png;ant problems;train
010_828.png;healthy;train
